Student_ID,First_Name,Last_Name,Full_School_Name,School,Grade,Gender,Race,Ethnicity,Street,City,State,Zip,Lat,Lon,Address,geometry,Students,Grade_for_Sorting
426,William,Garcia,Chestnut Academy,CA,1,Male,Asian,Hispanic,10751 Savoy Rd.,North Chesterfield,VA,23235,37.5188,-77.5918,"10751 Savoy Rd., North Chesterfield, VA 23235",POINT (-77.5918 37.5188),1,1
2586,Ashley,Gomez,Chestnut Academy,CA,1,Female,African American,Hispanic,11230 WAPLES MILL RD STE 100,FAIRFAX,VA,22030,38.85806,-77.334451,"11230 WAPLES MILL RD STE 100, FAIRFAX, VA 22030",POINT (-77.334451 38.85806),1,1
386,James,Gomez,Chestnut Academy,CA,1,Male,White,Non-Hispanic,2500 Rodgers St,Chesapeake,VA,23324,36.8017,-76.2727,"2500 Rodgers St, Chesapeake, VA 23324",POINT (-76.2727 36.8017),1,1
3753,Kathy,Guzman,Chestnut Academy,CA,1,Female,White,Hispanic,8910 Three Chopt Rd,Richmond,VA,23229,37.60552,-77.559643,"8910 Three Chopt Rd, Richmond, VA 23229",POINT (-77.559643 37.60552),1,1
2673,Diane,Harris,Chestnut Academy,CA,1,Female,White,Hispanic,4800 MATTIE MOORE CT,FAIRFAX,VA,22030,38.83915,-77.347901,"4800 MATTIE MOORE CT, FAIRFAX, VA 22030",POINT (-77.347901 38.83915),1,1
365,Robert,Harris,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,1420 Great Bridge Blvd,Chesapeake,VA,23320,36.7643,-76.2831,"1420 Great Bridge Blvd, Chesapeake, VA 23320",POINT (-76.2831 36.7643),1,1
918,Nicholas,Hill,Chestnut Academy,CA,1,Male,African American,Hispanic,3120 Victoria Boulevard,Hampton,VA,23661,37.01101,-76.367771,"3120 Victoria Boulevard, Hampton, VA 23661",POINT (-76.367771 37.01101),1,1
3522,Jessica,Hopkins,Chestnut Academy,CA,1,Female,White,Non-Hispanic,601 S Oak St,Falls Church,VA,22046,38.8834,-77.1836,"601 S Oak St, Falls Church, VA 22046",POINT (-77.1836 38.8834),1,1
1637,Joshua,House,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,5146 Snead Rd,Richmond,VA,23224,37.476913,-77.489299,"5146 Snead Rd, Richmond, VA 23224",POINT (-77.489299 37.476913),1,1
1283,Keith,Howell,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,4021 Prices Fork Rd,Blacksburg,VA,24060,37.2086,-80.4914,"4021 Prices Fork Rd, Blacksburg, VA 24060",POINT (-80.4914 37.2086),1,1
2863,Kaitlin,Jimenez,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,1407 Crozet Avenue,Crozet,VA,22932,38.074663,-78.697304,"1407 Crozet Avenue, Crozet, VA 22932",POINT (-78.697304 38.074663),1,1
3940,Tammie,Johnson,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,22325 Mooreview Parkway,Ashburn,VA,20148,38.9993,-77.5055,"22325 Mooreview Parkway, Ashburn, VA 20148",POINT (-77.5055 38.9993),1,1
3215,Evelyn,King,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,401 Charter Colony Pkwy.,Midlothian,VA,23114,37.496,-77.6603,"401 Charter Colony Pkwy., Midlothian, VA 23114",POINT (-77.6603 37.496),1,1
519,Michael,Kline,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,500 Apollo Ave,Danville,VA,24540,36.5975,-79.409,"500 Apollo Ave, Danville, VA 24540",POINT (-79.409 36.5975),1,1
776,James,Knapp,Chestnut Academy,CA,1,Male,White,Hispanic,4096 Zulla Road,Marshall,VA,20115,38.871,-77.8184,"4096 Zulla Road, Marshall, VA 20115",POINT (-77.8184 38.871),1,1
1516,Christopher,Lawson,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,3051 Old Bridge Road,Woodbridge,VA,22192,38.6824,-77.3051,"3051 Old Bridge Road, Woodbridge, VA 22192",POINT (-77.3051 38.6824),1,1
406,Jason,Lee,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,2007 Grizzly Trail,Chesapeake,VA,23323,36.7146,-76.3192,"2007 Grizzly Trail, Chesapeake, VA 23323",POINT (-76.3192 36.7146),1,1
2859,Tara,Little,Chestnut Academy,CA,1,Female,African American,Hispanic,3251 Morgantown Road,Charlottesville,VA,22903,38.0581,-78.6131,"3251 Morgantown Road, Charlottesville, VA 22903",POINT (-78.6131 38.0581),1,1
2104,Margaret,Lowe,Chestnut Academy,CA,1,Female,White,Non-Hispanic,4424 Fort Chiswell Road,Austinville,VA,24312,36.8627,-80.8648,"4424 Fort Chiswell Road, Austinville, VA 24312",POINT (-80.8648 36.8627),1,1
2531,Ann,Mack,Chestnut Academy,CA,1,Female,White,Hispanic,400 W OLNEY RD,NORFOLK,VA,23507,36.85884,-76.296061,"400 W OLNEY RD, NORFOLK, VA 23507",POINT (-76.296061 36.85884),1,1
3859,Kylie,Mcclure,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,100 Pendleton Place,Lexington,VA,24450,37.782167,-79.452014,"100 Pendleton Place, Lexington, VA 24450",POINT (-79.452014 37.782167),1,1
3306,Emily,Mcintyre,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,6111 Knollwood Dr,Falls Church,VA,22041,38.8523,-77.1454,"6111 Knollwood Dr, Falls Church, VA 22041",POINT (-77.1454 38.8523),1,1
1695,John,Melendez,Chestnut Academy,CA,1,Male,White,Hispanic,1616 Nineteenth Street NW,Roanoke,VA,24017,37.2932,-79.9664,"1616 Nineteenth Street NW, Roanoke, VA 24017",POINT (-79.9664 37.2932),1,1
3491,Robin,Mendez,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,8501 Silverbrook Road,Lorton,VA,22079,38.717276,-77.238618,"8501 Silverbrook Road, Lorton, VA 22079",POINT (-77.238618 38.717276),1,1
2169,Heather,Miller,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,400 GREEN ST,ALEXANDRIA,VA,22314,38.79533,-77.046741,"400 GREEN ST, ALEXANDRIA, VA 22314",POINT (-77.046741 38.79533),1,1
3730,Dawn,Mills,Chestnut Academy,CA,1,Female,African American,Hispanic,7800 Woodman Rd,Richmond,VA,23228,37.6255,-77.4813,"7800 Woodman Rd, Richmond, VA 23228",POINT (-77.4813 37.6255),1,1
1881,Joshua,Morales,Chestnut Academy,CA,1,Male,African American,Hispanic,2000 Parkway Blvd,Stafford,VA,22554,38.4649,-77.4489,"2000 Parkway Blvd, Stafford, VA 22554",POINT (-77.4489 38.4649),1,1
3162,Megan,Morris,Chestnut Academy,CA,1,Female,White,Non-Hispanic,2248 Averill Dr.,Chesapeake,VA,23323,36.7141,-76.3354,"2248 Averill Dr., Chesapeake, VA 23323",POINT (-76.3354 36.7141),1,1
3387,Megan,Nelson,Chestnut Academy,CA,1,Female,American Indian,Hispanic,2500 James Madison Dr,Vienna,VA,22181,38.8962,-77.2796,"2500 James Madison Dr, Vienna, VA 22181",POINT (-77.2796 38.8962),1,1
2497,Kelli,Owens,Chestnut Academy,CA,1,Female,Asian,Hispanic,25375 SUPREME DR,ALDIE,VA,20105,38.91618,-77.556651,"25375 SUPREME DR, ALDIE, VA 20105",POINT (-77.556651 38.91618),1,1
2646,Taylor,Parker,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,200 N PINECREST LN,BRISTOL,VA,24201,36.615974,-82.190919,"200 N PINECREST LN, BRISTOL, VA 24201",POINT (-82.190919 36.615974),1,1
3873,Deanna,Pineda,Chestnut Academy,CA,1,Female,White,Hispanic,340 N Maple Ave,Purcellville,VA,20132,39.1406,-77.7017,"340 N Maple Ave, Purcellville, VA 20132",POINT (-77.7017 39.1406),1,1
3600,Laura,Pope,Chestnut Academy,CA,1,Female,Asian,Hispanic,1825 Wenonah Avenue,Pearisburg,VA,24134,37.3278,-80.7045,"1825 Wenonah Avenue, Pearisburg, VA 24134",POINT (-80.7045 37.3278),1,1
3714,Pamela,Price,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,One Court Square,Harrisonburg,VA,22801,38.442773,-78.909734,"One Court Square, Harrisonburg, VA 22801",POINT (-78.909734 38.442773),1,1
1138,Angel,Ramirez,Chestnut Academy,CA,1,Male,Asian,Non-Hispanic,701 Potomac Station Dr NE,Leesburg,VA,20176,39.0948,-77.5227,"701 Potomac Station Dr NE, Leesburg, VA 20176",POINT (-77.5227 39.0948),1,1
694,Andrew,Roberts,Chestnut Academy,CA,1,Male,African American,Hispanic,1085 Utterback Store Rd,Great Falls,VA,22066,38.9935,-77.3283,"1085 Utterback Store Rd, Great Falls, VA 22066",POINT (-77.3283 38.9935),1,1
3530,Catherine,Rose,Chestnut Academy,CA,1,Female,White,Non-Hispanic,3284 Rectortown Rd,Marshall,VA,20115,38.9104,-77.8483,"3284 Rectortown Rd, Marshall, VA 20115",POINT (-77.8483 38.9104),1,1
2898,Alicia,Sandoval,Chestnut Academy,CA,1,Female,White,Non-Hispanic,5000 Polk Ave,Alexandria,VA,22304,38.8221,-77.1163,"5000 Polk Ave, Alexandria, VA 22304",POINT (-77.1163 38.8221),1,1
392,Kevin,Sawyer,Chestnut Academy,CA,1,Male,African American,Hispanic,1701 River Birch Run N,Chesapeake,VA,23320,36.7864,-76.2188,"1701 River Birch Run N, Chesapeake, VA 23320",POINT (-76.2188 36.7864),1,1
1965,Joshua,Scott,Chestnut Academy,CA,1,Male,White,Hispanic,1272 Mill Dam Rd,Virginia Beach,VA,23454,36.8737,-76.0293,"1272 Mill Dam Rd, Virginia Beach, VA 23454",POINT (-76.0293 36.8737),1,1
108,Donald,Smith,Chestnut Academy,CA,1,Male,White,Hispanic,901 Rose Hill Drive,Charlottesville,VA,22903,38.0399,-78.4866,"901 Rose Hill Drive, Charlottesville, VA 22903",POINT (-78.4866 38.0399),1,1
3300,Jennifer,Smith,Chestnut Academy,CA,1,Female,White,Non-Hispanic,6344 Beryl Rd,Alexandria,VA,22312,38.8022,-77.1575,"6344 Beryl Rd, Alexandria, VA 22312",POINT (-77.1575 38.8022),1,1
3226,Cassidy,Taylor,Chestnut Academy,CA,1,Female,White,Hispanic,813 Beginners Trail Loop,Chester,VA,23836,37.339704,-77.340016,"813 Beginners Trail Loop, Chester, VA 23836",POINT (-77.340016 37.339704),1,1
294,Jordan,Thompson,Chestnut Academy,CA,1,Male,African American,Hispanic,1124 Almarine Drive,Grundy,VA,24614,37.2955,-82.0491,"1124 Almarine Drive, Grundy, VA 24614",POINT (-82.0491 37.2955),1,1
3393,Joanne,Walker,Chestnut Academy,CA,1,Female,White,Non-Hispanic,6116 N Kings Hwy,Alexandria,VA,22303,38.7849,-77.0785,"6116 N Kings Hwy, Alexandria, VA 22303",POINT (-77.0785 38.7849),1,1
3489,Rhonda,Walker,Chestnut Academy,CA,1,Female,White,Non-Hispanic,13340 Leland Rd.,Centreville,VA,20120,38.8457,-77.4083,"13340 Leland Rd., Centreville, VA 20120",POINT (-77.4083 38.8457),1,1
3884,Abigail,Ware,Chestnut Academy,CA,1,Female,African American,Hispanic,15513 Loyalty Rd,Waterford,VA,20197,39.1876,-77.6061,"15513 Loyalty Rd, Waterford, VA 20197",POINT (-77.6061 39.1876),1,1
3218,Julia,Washington,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,1701 Evergreen East Pkwy.,Midlothian,VA,23114,37.4632,-77.6316,"1701 Evergreen East Pkwy., Midlothian, VA 23114",POINT (-77.6316 37.4632),1,1
2463,Amanda,Wilson,Chestnut Academy,CA,1,Female,African American,Hispanic,2124 N 29TH ST,RICHMOND,VA,23223,37.54533,-77.400171,"2124 N 29TH ST, RICHMOND, VA 23223",POINT (-77.400171 37.54533),1,1
2070,Amanda,Woods,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,3751 John Tyler Hwy,Williamsburg,VA,23135,37.2527,-76.7892,"3751 John Tyler Hwy, Williamsburg, VA 23135",POINT (-76.7892 37.2527),1,1
3778,Brenda,Zamora,Chestnut Academy,CA,1,Female,White,Non-Hispanic,11600 Holman Ridge Rd.,Glen Allen,VA,23059,37.6871,-77.579,"11600 Holman Ridge Rd., Glen Allen, VA 23059",POINT (-77.579 37.6871),1,1
1724,Matthew,Adams,Chestnut Academy,CA,10,Male,African American,Non-Hispanic,5005 Grandin Rd Extension,Roanoke,VA,24018,37.2463,-80.0337,"5005 Grandin Rd Extension, Roanoke, VA 24018",POINT (-80.0337 37.2463),1,10
250,Robert,Allen,Chestnut Academy,CA,10,Male,African American,Hispanic,1234 Eagle Circle,Lynchburg,VA,24503,37.4529,-79.261,"1234 Eagle Circle, Lynchburg, VA 24503",POINT (-79.261 37.4529),1,10
381,Dennis,Anderson,Chestnut Academy,CA,10,Male,White,Hispanic,1857 Varsity Dr,Chesapeake,VA,23324,36.7889,-76.2706,"1857 Varsity Dr, Chesapeake, VA 23324",POINT (-76.2706 36.7889),1,10
2831,Dawn,Armstrong,Chestnut Academy,CA,10,Female,Asian,Non-Hispanic,8210 Lankford Highway,Oak Hall,VA,23416,37.9253,-75.5501,"8210 Lankford Highway, Oak Hall, VA 23416",POINT (-75.5501 37.9253),1,10
3459,Erica,Armstrong,Chestnut Academy,CA,10,Female,African American,Hispanic,15301 Lee Hwy,Centreville,VA,20121,38.828656,-77.475722,"15301 Lee Hwy, Centreville, VA 20121",POINT (-77.475722 38.828656),1,10
1838,Albert,Arnold,Chestnut Academy,CA,10,Male,African American,Non-Hispanic,3600 Lee Hill School Dr,Fredericksburg,VA,22408,38.2271,-77.4598,"3600 Lee Hill School Dr, Fredericksburg, VA 22408",POINT (-77.4598 38.2271),1,10
1134,Gary,Arnold,Chestnut Academy,CA,10,Male,White,Non-Hispanic,491 Evergreen Mill Rd SE,Leesburg,VA,20175,39.091,-77.5725,"491 Evergreen Mill Rd SE, Leesburg, VA 20175",POINT (-77.5725 39.091),1,10
3915,Alexandra,Avery,Chestnut Academy,CA,10,Female,African American,Non-Hispanic,25450 Riding Center Drive,South Riding,VA,20152,38.91404,-77.535067,"25450 Riding Center Drive, South Riding, VA 20152",POINT (-77.535067 38.91404),1,10
6,Ryan,Benton,Chestnut Academy,CA,10,Male,African American,Hispanic,520 Butler Farm Road,Hampton,VA,23666,37.0627,-76.4116,"520 Butler Farm Road, Hampton, VA 23666",POINT (-76.4116 37.0627),1,10
3346,Monica,Brown,Chestnut Academy,CA,10,Female,American Indian,Non-Hispanic,2831 Graham Rd,Falls Church,VA,22042,38.8676,-77.1956,"2831 Graham Rd, Falls Church, VA 22042",POINT (-77.1956 38.8676),1,10
3086,Stephanie,Burke,Chestnut Academy,CA,10,Female,African American,Non-Hispanic,17502 New Baltimore Road,Milford,VA,22514,38.0381,-77.342,"17502 New Baltimore Road, Milford, VA 22514",POINT (-77.342 38.0381),1,10
2432,Kelly,Burns,Chestnut Academy,CA,10,Female,American Indian,Hispanic,45091 RESEARCH PL,ASHBURN,VA,20147,39.05246,-77.439761,"45091 RESEARCH PL, ASHBURN, VA 20147",POINT (-77.439761 39.05246),1,10
3627,Rebecca,Carter,Chestnut Academy,CA,10,Female,American Indian,Hispanic,64 Monroe Drive,Stanardsville,VA,22973,38.2962,-78.4444,"64 Monroe Drive, Stanardsville, VA 22973",POINT (-78.4444 38.2962),1,10
1093,Steven,Cook,Chestnut Academy,CA,10,Male,White,Non-Hispanic,205 Flatwoods School Road,Jonesville,VA,24263,36.6499,-83.2338,"205 Flatwoods School Road, Jonesville, VA 24263",POINT (-83.2338 36.6499),1,10
1915,Vincent,Cooper,Chestnut Academy,CA,10,Male,American Indian,Non-Hispanic,350 Kings Fork Rd.,Suffolk,VA,23434,36.7875,-76.5958,"350 Kings Fork Rd., Suffolk, VA 23434",POINT (-76.5958 36.7875),1,10
2589,Sabrina,Cox,Chestnut Academy,CA,10,Female,American Indian,Non-Hispanic,13801 VILLAGE PL DR,MIDLOTHIAN,VA,23114,37.50317,-77.655771,"13801 VILLAGE PL DR, MIDLOTHIAN, VA 23114",POINT (-77.655771 37.50317),1,10
2127,Amanda,Cruz,Chestnut Academy,CA,10,Female,African American,Hispanic,3711 Big Bethel Rd,Yorktown,VA,23693,37.1136,-76.4315,"3711 Big Bethel Rd, Yorktown, VA 23693",POINT (-76.4315 37.1136),1,10
1353,Jake,Dunn,Chestnut Academy,CA,10,Male,African American,Non-Hispanic,1511 Willow Wood Dr,Norfolk,VA,23509,36.8878,-76.2666,"1511 Willow Wood Dr, Norfolk, VA 23509",POINT (-76.2666 36.8878),1,10
1235,Austin,Evans,Chestnut Academy,CA,10,Male,White,Non-Hispanic,9075 Park Ave,Manassas,VA,20110,38.7626,-77.4903,"9075 Park Ave, Manassas, VA 20110",POINT (-77.4903 38.7626),1,10
2871,Heather,Evans,Chestnut Academy,CA,10,Female,Asian,Hispanic,3901 Red Hill School Road,North Garden,VA,22959,37.964267,-78.635342,"3901 Red Hill School Road, North Garden, VA 22959",POINT (-78.635342 37.964267),1,10
505,Stephen,Evans,Chestnut Academy,CA,10,Male,African American,Non-Hispanic,701 Yowell Drive,Culpeper,VA,22701,38.4855,-78.016641,"701 Yowell Drive, Culpeper, VA 22701",POINT (-78.016641 38.4855),1,10
2164,Carolyn,Flores,Chestnut Academy,CA,10,Female,African American,Non-Hispanic,7401 SAINT MICHAELS LN,ANNANDALE,VA,22003,38.82237,-77.200101,"7401 SAINT MICHAELS LN, ANNANDALE, VA 22003",POINT (-77.200101 38.82237),1,10
3735,Ashley,French,Chestnut Academy,CA,10,Female,White,Non-Hispanic,2204 Mountain Rd,Glen Allen,VA,23060,37.662227,-77.482596,"2204 Mountain Rd, Glen Allen, VA 23060",POINT (-77.482596 37.662227),1,10
884,Bradley,Fuller,Chestnut Academy,CA,10,Male,African American,Hispanic,High School Cir,South Boston,VA,24592,36.7303,-78.9087,"High School Cir, South Boston, VA 24592",POINT (-78.9087 36.7303),1,10
409,Matthew,George,Chestnut Academy,CA,10,Male,Asian,Hispanic,12601 Bailey Bridge Rd.,Midlothian,VA,23112,37.407,-77.623,"12601 Bailey Bridge Rd., Midlothian, VA 23112",POINT (-77.623 37.407),1,10
1169,Zachary,Harrell,Chestnut Academy,CA,10,Male,White,Non-Hispanic,41740 Tall Cedars Parkway,Aldie,VA,20105,38.9369,-77.5597,"41740 Tall Cedars Parkway, Aldie, VA 20105",POINT (-77.5597 38.9369),1,10
3932,Heidi,Henry,Chestnut Academy,CA,10,Female,Asian,Non-Hispanic,38180 West Colonial Highway,Hamilton,VA,20158,39.1407,-77.6819,"38180 West Colonial Highway, Hamilton, VA 20158",POINT (-77.6819 39.1407),1,10
1666,Timothy,Hoffman,Chestnut Academy,CA,10,Male,White,Non-Hispanic,119 West Leigh Street,Richmond,VA,23220,37.549324,-77.441221,"119 West Leigh Street, Richmond, VA 23220",POINT (-77.441221 37.549324),1,10
3794,Janet,Howell,Chestnut Academy,CA,10,Female,White,Non-Hispanic,2915 Williamsburg Road,Henrico,VA,23231,37.5168,-77.376682,"2915 Williamsburg Road, Henrico, VA 23231",POINT (-77.376682 37.5168),1,10
288,Dustin,Hunter,Chestnut Academy,CA,10,Male,White,Hispanic,383 Baugh Lane,Abingdon,VA,24210,36.728491,-81.947673,"383 Baugh Lane, Abingdon, VA 24210",POINT (-81.947673 36.728491),1,10
1463,Matthew,Jackson,Chestnut Academy,CA,10,Male,African American,Non-Hispanic,11700 US Highway 29,Chatham,VA,24531,36.7642,-79.3891,"11700 US Highway 29, Chatham, VA 24531",POINT (-79.3891 36.7642),1,10
147,Jared,Johnson,Chestnut Academy,CA,10,Male,African American,Non-Hispanic,3330 King St,Alexandria,VA,22302,38.823544,-77.084667,"3330 King St, Alexandria, VA 22302",POINT (-77.084667 38.823544),1,10
1411,Steven,Johnson,Chestnut Academy,CA,10,Male,White,Non-Hispanic,5279 Old Nottoway Rd,Crewe,VA,23930,37.1231,-78.0656,"5279 Old Nottoway Rd, Crewe, VA 23930",POINT (-78.0656 37.1231),1,10
2812,Paula,Johnston,Chestnut Academy,CA,10,Female,African American,Non-Hispanic,521 Colony Road,Madison Heights,VA,24572,37.412485,-79.121627,"521 Colony Road, Madison Heights, VA 24572",POINT (-79.121627 37.412485),1,10
3678,Leslie,Key,Chestnut Academy,CA,10,Female,Asian,Hispanic,1067 Big Bethel Road,Hampton,VA,23666,37.0535,-76.4303,"1067 Big Bethel Road, Hampton, VA 23666",POINT (-76.4303 37.0535),1,10
3641,Gwendolyn,Kim,Chestnut Academy,CA,10,Female,White,Hispanic,1011 Sydnor Jennings Rd,Nathalie,VA,24577,36.9248,-79.0141,"1011 Sydnor Jennings Rd, Nathalie, VA 24577",POINT (-79.0141 36.9248),1,10
3856,Denise,Kirby,Chestnut Academy,CA,10,Female,White,Non-Hispanic,2434 St. Charles Road,St Charles,VA,24282,36.8039,-83.0574,"2434 St. Charles Road, St Charles, VA 24282",POINT (-83.0574 36.8039),1,10
3607,Melissa,Klein,Chestnut Academy,CA,10,Female,Asian,Non-Hispanic,6361 Main Street,Gloucester,VA,23061,37.4169,-76.5341,"6361 Main Street, Gloucester, VA 23061",POINT (-76.5341 37.4169),1,10
1748,Lawrence,Krause,Chestnut Academy,CA,10,Male,Asian,Non-Hispanic,9508 Spotswood Trail,McGaheysville,VA,22840,38.3712,-78.7357,"9508 Spotswood Trail, McGaheysville, VA 22840",POINT (-78.7357 38.3712),1,10
3328,Jasmine,Lowery,Chestnut Academy,CA,10,Female,White,Hispanic,10900 Santa Clara Dr,Fairfax,VA,22030,38.8399,-77.3234,"10900 Santa Clara Dr, Fairfax, VA 22030",POINT (-77.3234 38.8399),1,10
121,Zachary,Melton,Chestnut Academy,CA,10,Male,African American,Hispanic,7868 Scottsville Road,Scottsville,VA,24590,37.818267,-78.5108,"7868 Scottsville Road, Scottsville, VA 24590",POINT (-78.5108 37.818267),1,10
679,Juan,Meyers,Chestnut Academy,CA,10,Male,African American,Non-Hispanic,3401 Hemlock Dr,Falls Church,VA,22042,38.8517,-77.2135,"3401 Hemlock Dr, Falls Church, VA 22042",POINT (-77.2135 38.8517),1,10
510,Jason,Miller,Chestnut Academy,CA,10,Male,White,Hispanic,1541 Anderson Highway,Cumberland,VA,23040,37.492862,-78.248024,"1541 Anderson Highway, Cumberland, VA 23040",POINT (-78.248024 37.492862),1,10
1212,Jimmy,Mitchell,Chestnut Academy,CA,10,Male,Asian,Non-Hispanic,600 Mansfield Ave,Lynchburg,VA,24501,37.397793,-79.166997,"600 Mansfield Ave, Lynchburg, VA 24501",POINT (-79.166997 37.397793),1,10
2183,Emma,Morris,Chestnut Academy,CA,10,Female,Asian,Non-Hispanic,7209 QUIET CV,ANNANDALE,VA,22003,38.83506,-77.194791,"7209 QUIET CV, ANNANDALE, VA 22003",POINT (-77.194791 38.83506),1,10
